GAME_ID,PLAYER_ID,TEAM_ID,Actual Assists,Expected Assists,Actual Points from Assists,Expected Points from Assists,Actual Points,Expected Points
21500306,201196,1610612764,1,1.723885733700875,2,4.251231135939718,11,6.066687525
21500661,201568,1610612743,2,2.2619358328987023,5,5.192387196253234,17,14.14617947
21500859,201976,1610612745,1,2.3709731645866077,3,6.671638354969787,14,8.67388219
21600191,2733,1610612744,2,2.3279836989493785,5,6.416862489253199,2,4.95716486
21600388,204001,1610612752,0,0.4418604651162791,0,0.8837209302325582,8,12.1987157
21600111,202703,1610612741,1,0.9257471081493993,2,2.213971447628489,0,3.084293005
21601096,203459,1610612757,1,0.3377777777777778,3,1.0133333333333334,18,13.65257018
21500166,203506,1610612753,3,2.549089334153127,6,5.48725716659977,0,5.89621543
21600246,2199,1610612756,0,1.254776529338327,0,2.509553058676654,10,7.802216268
21600154,201949,1610612748,0,0.9216921692169218,0,2.765076507650765,13,8.718798328
