GAME_ID,TEAM_ID,PLAYER_ID,Actual Assists,Expected Assists,Actual Points from Assists,Expected Points from Assists
41600105,1610612738,203482,0,1.1052216049919554,0,2.867577383281877
41600105,1610612741,203487,0,0.4793650793650793,0,0.9587301587301587
41600105,1610612738,203935,7,7.307531740158148,18,18.346869747752766
41600106,1610612738,1626179,1,1.1872313426530705,3,3.3116940279592115
41600106,1610612741,1627835,1,1.6929417623871101,3,4.729988077859005
41600106,1610612738,202340,4,2.8523026669438902,10,7.087206405184405
41600106,1610612738,203109,1,0.7712604403948368,3,2.31378132118451
41600106,1610612741,201577,0,0.30927835051546393,0,0.9278350515463918
41600106,1610612741,203530,2,1.3941002949852508,4,3.1156342182890855
41600106,1610612741,1627756,1,1.1980769230769233,2,2.3961538461538465
41600106,1610612741,202703,1,0.9751972469363774,2,1.9503944938727549
